Date (YYYYMMDD);Hour;Inflow (m^3/s)
20040110;16;1.773258686
20040110;17;1.774341226
20040110;18;1.775786757
20040110;19;1.777527452
20040110;20;1.779507399
20040110;21;1.781681061
20040110;22;1.784011245
20040110;23;1.786466956
20040110;24;1.789023161
20040111;1;1.791659117
20040111;2;1.794357657
20040111;3;1.797104597
20040111;4;1.799888492
20040111;5;1.802699566
20040111;6;1.805529833
20040111;7;1.808372855
20040111;8;1.81122303
20040111;9;1.814075947
20040111;10;1.81692791
20040111;11;1.819775581
20040111;12;1.822616339
20040111;13;1.825448036
20040111;14;1.828268886
20040111;15;1.831077099
20040111;16;1.833871365
20040111;17;1.836650372
20040111;18;1.839413047
20040111;19;1.842695236
20040111;20;1.867674708
20040111;21;1.963253736
20040111;22;2.023083687
20040111;23;1.926841974
20040111;24;1.963957429
20040112;1;2.012197733
20040112;2;2.049348354
20040112;3;2.046626329
20040112;4;2.116383076
20040112;5;2.005067825
20040112;6;1.966189504
20040112;7;1.964685202
20040112;8;1.966490507
20040112;9;1.967279553
20040112;10;2.009039164
20040112;11;1.948134899
20040112;12;1.991533875
20040112;13;1.968418479
20040112;14;1.972976804
20040112;15;1.924320817
20040112;16;1.935082078
20040112;17;1.948788404
20040112;18;1.926499724
20040112;19;1.919768929
20040112;20;1.918547511
20040112;21;1.917923212
20040112;22;1.917778969
20040112;23;1.918020487
20040112;24;1.918571115
20040113;1;1.919368744
20040113;2;1.920362711
20040113;3;1.921512127
20040113;4;1.922783494
20040113;5;1.924149394
20040113;6;1.925587773
20040113;7;1.927080512
20040113;8;1.928613067
20040113;9;1.930173278
20040113;10;1.93175137
20040113;11;1.933339477
20040113;12;1.934931159
20040113;13;1.936521173
20040113;14;1.938105583
20040113;15;1.939681053
20040113;16;1.941245556
20040113;17;1.942797899
20040113;18;1.944338083
20040113;19;1.945866466
20040113;20;1.947382927
20040113;21;1.948886156
20040113;22;1.950377464
20040113;23;1.951857209
20040113;24;1.953323722
20040114;1;1.954775572
20040114;2;1.956213474
20040114;3;1.957636952
20040114;4;1.959042668
20040114;5;1.960426927
20040114;6;1.961788893
20040114;7;1.963128686
20040114;8;1.964442968
20040114;9;1.965731978
20040114;10;1.966997981
20040114;11;1.968241572
20040114;12;1.969459891
20040114;13;1.970652342
20040114;14;1.971821666
20040114;15;1.972970366
20040114;16;1.974099994
20040114;17;1.97521162
20040114;18;1.976305604
20040114;19;1.977382541
20040114;20;1.97844243
20040114;21;1.979485631
20040114;22;1.980512261
20040114;23;1.981522679
20040114;24;1.982516766
20040115;1;1.983494759
20040115;2;1.984456539
20040115;3;1.985402346
20040115;4;1.986332297
20040115;5;1.987246394
20040115;6;1.988144517
20040115;7;1.989026904
20040115;8;1.989893317
20040115;9;1.990743876
20040115;10;1.99157846
20040115;11;1.992396593
20040115;12;1.993196964
20040115;13;1.993978858
20040115;14;1.994739413
20040115;15;1.995474339
20040115;16;1.996178389
20040115;17;1.996846557
20040115;18;1.997480392
20040115;19;1.998082995
20040115;20;1.99864614
20040115;21;1.999174356
20040115;22;1.999674082
20040115;23;2.000145674
20040115;24;2.000584364
20040116;1;2.000990868
20040116;2;2.001370907
20040116;3;2.001732826
20040116;4;2.002080202
20040116;5;2.002415895
20040116;6;2.002742052
20040116;7;2.00305891
20040116;8;2.00336647
20040116;9;2.003666162
20040116;10;2.003958702
20040116;11;2.004242897
20040116;12;2.00452137
20040116;13;2.004793882
20040116;14;2.005058765
20040116;15;2.005317211
20040116;16;2.005571127
20040116;17;2.005820751
20040116;18;2.006062746
20040116;19;2.006299496
20040116;20;2.006531
20040116;21;2.006752491
20040116;22;2.006970167
20040116;23;2.007183075
20040116;24;2.007383585
20040117;1;2.007574797
20040117;2;2.007759094
20040117;3;2.00793457
20040117;4;2.008095026
20040117;5;2.008242846
20040117;6;2.008379221
20040117;7;2.008502722
20040117;8;2.008612156
20040117;9;2.00870657
20040117;10;2.009733915
20040117;11;2.048504353
20040117;12;2.211381197
20040117;13;2.30947566
20040117;14;2.163287878
20040117;15;2.412375212
20040117;16;2.603253365
20040117;17;2.45973897
20040117;18;2.52058363
20040117;19;2.742991447
20040117;20;2.605448484
20040117;21;2.531999826
20040117;22;2.65057683
20040117;23;2.437834501
20040117;24;2.355712652
20040118;1;2.430570841
20040118;2;2.646119595
20040118;3;4.00941658
20040118;4;4.845258236
20040118;5;3.866169691
20040118;6;6.498271465
20040118;7;8.386557579
20040118;8;7.176634312
20040118;9;9.859116554
20040118;10;13.10968304
20040118;11;10.78131008
20040118;12;12.65084839
20040118;13;16.35877991
20040118;14;13.13711834
20040118;15;13.02053165
20040118;16;16.29415894
